timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values0,values1,values2,values3,values4,values5,values6,values7,values8,values9,values10,values11,values12,values13,values14,values15,values16,values17,rc_failsafe,rc_lost,input_source,basestation,flight_number
239210157,239210157,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1550,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239293914,239293914,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1567,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239402097,239402097,18,255,0,0,0,1492,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1535,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239509926,239509926,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1489,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239601940,239601940,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1489,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239713905,239713905,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1616,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239802233,239802233,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1616,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
239914104,239914104,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1633,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240019049,240019049,18,255,0,0,0,1492,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1633,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240103410,240103410,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1633,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240219483,240219483,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1633,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240327508,240327508,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1633,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240407527,240407527,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1633,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240515612,240515612,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1599,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240607405,240607405,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1599,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240719480,240719480,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1599,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240831737,240831737,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
240923500,240923500,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241016293,241016293,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241132500,241132500,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241224310,241224310,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241332341,241332341,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241440290,241440290,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241544666,241544666,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241632321,241632321,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241740204,241740204,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241848515,241848515,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
241940243,241940243,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1583,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
242048303,242048303,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1599,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
242140280,242140280,18,255,0,0,0,1493,1499,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1599,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
242252703,242252703,18,255,0,0,0,1493,1500,1648,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1599,998,998,0,0,4,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
