timestamp,rollspeed,pitchspeed,yawspeed,q0,q1,q2,q3,delta_q_reset0,delta_q_reset1,delta_q_reset2,delta_q_reset3,quat_reset_counter,basestation,flight_number
401711348,-0.038280368,0.28801227,-0.03487174,-0.7609556,0.07962678,-0.05452622,-0.6415865,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401811463,-0.0872283,-0.08033627,0.03248307,-0.760372,0.08183701,-0.05714837,-0.6417719,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
401915346,0.033115715,-0.4833215,0.1119826,-0.76105773,0.072243005,-0.045742422,-0.6430239,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402019336,-0.06392717,-0.45983613,0.07169566,-0.7617896,0.058046307,-0.027965724,-0.64461243,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402119340,0.08962138,-0.53432536,-0.0102943815,-0.7609432,0.042342667,-0.008721552,-0.6473766,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402223399,-0.11737826,-0.43399724,0.11722476,-0.7568272,0.02747512,0.012001144,-0.652927,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402323274,-0.062371932,-0.37226263,0.30421305,-0.7494886,0.017536659,0.02813629,-0.66118664,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402424980,-0.057169594,-0.2110164,0.31583798,-0.739696,0.01222002,0.038860608,-0.6717071,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402525022,0.013025566,-0.15018237,0.50143766,-0.7277634,0.00889273,0.04645593,-0.68419534,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402629308,-0.23415329,-0.0006328843,0.533716,-0.7128597,0.0099316435,0.050222278,-0.69943565,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402728887,0.05043722,0.039413508,0.57980627,-0.69648725,0.011725226,0.051784053,-0.7156022,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402828938,0.12169119,0.012839906,0.5201566,-0.678706,0.014857895,0.051695663,-0.73243773,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
402932980,-0.05369176,0.3756427,0.46545905,-0.6606613,0.027988916,0.042815305,-0.74893934,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403032916,-0.011477692,0.40940908,0.34231058,-0.6450872,0.041252896,0.030834686,-0.76237124,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
403136883,0.1546649,0.24998201,0.32795593,-0.6323656,0.049545024,0.019673355,-0.7728339,0.7763479,0.0057239314,0.0061299475,-0.63024884,1,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
