timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,basestation,flight_number
277032540,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
278032666,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
279038184,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
280040684,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
281041511,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
282046958,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
283061501,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
284079432,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
285082480,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
286083490,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
287086506,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
288100195,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
289112655,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
290125491,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
291131262,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
292152759,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
293154498,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
294162578,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
295183474,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
296197021,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
297210521,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
298230521,125.0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
