timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d0,q_d1,q_d2,q_d3,thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps,basestation,flight_number
218805811,-0.14596733,-0.35221025,1.9242179,0.0,0.5719295,0.10229875,-0.15880634,0.79825574,0.5730706,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
218906471,-0.14347109,-0.35369307,1.9242328,0.0,0.5717642,0.10361628,-0.15821774,0.7983211,0.57533467,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219006551,-0.14282675,-0.35388428,1.9242486,0.0,0.57172036,0.10387944,-0.15801242,0.798359,0.57792884,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219111649,-0.14955926,-0.35010093,1.9242631,0.0,0.5721357,0.100417614,-0.15965666,0.7981773,0.57816577,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219211889,-0.1479914,-0.34632447,1.9242735,0.0,0.5721263,0.099331565,-0.1579898,0.7986513,0.57622695,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219311461,-0.150016,-0.3556365,1.9242835,0.0,0.57204103,0.10253859,-0.16136159,0.7976323,0.5748946,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219415427,-0.15153678,-0.35448647,1.9242915,0.0,0.57213837,0.10163686,-0.16165128,0.7976192,0.5705497,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219517034,-0.15225142,-0.3539343,1.9242953,0.0,0.5721839,0.101208255,-0.16178419,0.79761416,0.5707798,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219615722,-0.14834717,-0.35389394,1.9242996,0.0,0.57198435,0.102308996,-0.16021551,0.79793346,0.56991565,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
219719344,-0.15403426,-0.353803,1.9243041,0.0,0.5722729,0.10064552,-0.16245857,0.7974844,0.5721156,1.0,1,0,0,0,0,0,0,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
