timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,lat_hp,lon_hp,alt_hp,alt_ellipsoid_hp,fix_type,vel_ned_valid,satellites_used,nav_pvt_flags,basestation,flight_number
267258536,1652271824399755,293754271,-895490858,16852,-9383,0.19900002,2.4015198,0.31219998,0.6633,0.51,1.0,69,38,0.055000003,0.024,-0.05,1.314,4.779052,-3989,,0.0,18,-45,-1,3,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267350472,1652271824499755,293754271,-895490859,16724,-9510,0.19900002,2.1315842,0.3121,0.663,0.51,1.0,69,38,0.067,-0.013,-0.066,1.273,4.779052,-3526,,0.0,25,-15,2,-4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267458462,1652271824599755,293754271,-895490860,16601,-9634,0.19800001,2.3117847,0.312,0.6627,0.51,1.0,69,38,0.061000004,0.008,-0.060000002,1.11,4.779052,-3975,,0.0,23,15,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267559464,1652271824699755,293754271,-895490861,16496,-9739,0.19800001,2.0149028,0.3118,0.6624,0.51,1.0,69,38,0.07,0.003,-0.07,1.0200001,4.779052,-3987,,0.0,35,40,-3,1,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267655472,1652271824799755,293754271,-895490861,16396,-9839,0.19800001,3.1415925,0.3117,0.66209996,0.51,1.0,69,38,0.020000001,0.0050000004,-0.019000001,0.91,4.779052,-3939,,0.0,42,-10,-4,0,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267756951,1652271824899755,293754272,-895490862,16315,-9920,0.19700001,2.0114977,0.31149998,0.6617,0.51,1.0,69,37,0.061000004,0.037,-0.049000002,0.84300005,4.779052,-4366,,0.0,-29,40,0,4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267864567,1652271824999756,293754272,-895490862,16222,-10013,0.19700001,1.9671503,0.3114,0.66139996,0.51,1.0,69,37,0.053000003,0.052,-0.009000001,0.762,4.779052,-3918,,0.0,9,10,0,4,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
267956915,1652271825099755,293754273,-895490862,16162,-10073,0.19700001,1.7154299,0.3112,0.6611,0.51,1.0,69,37,0.066,0.063,0.021000002,0.66300005,4.779052,-3129,,0.0,-27,1,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268056653,1652271825199755,293754273,-895490862,16080,-10155,0.19700001,1.4137297,0.3111,0.6608,0.51,1.0,69,37,0.07700001,0.067,-0.038000003,0.643,4.779052,-4085,,0.0,26,-4,-2,2,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
268157114,1652271825299755,293754274,-895490862,16031,-10204,0.19700001,1.1774393,0.311,0.6606,0.51,1.0,69,37,0.094000004,0.09200001,0.018000001,0.578,4.779052,-5384,,0.0,13,-29,0,5,4,1,29,3,2203,224c2092-44e1-4b73-879c-d0ad0c4b4c87
